voice, stone, expert, square, shade, stream, rock, cheese, cave, canvas, crate, day, jeans, calendar, quilt, sock, boys
laugh, 5, m, 0, 1, 0, -6266646034105, -1271129, 1, 0, -0.086327, -0.000007, 52, 281001, 197, -173.425106, c
books, 22, <, 0, 1, 1, -454, 108, 0, 1, 0.737465, 151.268997, 798, 8323334, 73, -0.944057, 3e
bears, 652, f, 1, 1, 0, -54324, 3915534, 1, 1, 0.000023, 0.001020, 221, 3529502, 222, -0.011673, 5
arm, 1, q, 1, 1, 0, 656807778, -364560293, 1, 0, -0.000015, 0.000000, 410, 394512358, 2363, -0.000008, ff
nut, 19, P, 1, 1, 1, -235621034644932048, 4766, 0, 0, -0.820137, -0.000007, 233, 10987821, 75903, -0.001034, fc
control, 10713, o, 0, 0, 1, 8408172186768711318, -230, 1, 1, 34.731567, 31.999805, 1821, 3, 958889, 56.493500, 3
pie, 8, 1, 1, 1, 0, 1832906168, -147845, 1, 1, 9.232483, -15.655815, 1, 2, 1888, 0.000000, f5
profit, 91, b, 1, 0, 0, 2679556317229974, -372659693, 1, 0, 0.103378, -23.958141, 18, 879095, 54056438, -0.000240, 50
veil, 0, %, 0, 0, 1, 114543752341556602, -631248, 1, 1, 0.000114, 0.000013, 1, 914, 49091, 0.000107, ab
lunchroom, 14692, ^, 1, 0, 1, -3274228879919378, 8, 1, 1, 0.000015, 0.082402, 1834, 127, 134757030, -0.000008, 6
silk, 25683, P, 1, 0, 1, 22222054377724, 1158, 0, 1, 0.076294, -0.063419, 1, 4979, 14334926, 0.009686, 5
afternoon, 18, m, 0, 1, 1, -80425, -32560, 0, 1, -18.487640, 0.003057, 35, 12601928, 2, 0.241585, 4
statement, 251, :, 0, 1, 1, -1, 250256, 1, 0, 0.022751, -0.004355, 1, 12383, 61552967, 169.482052, f
mass, 10463, B, 1, 0, 1, 4564353108076243360, 430227, 0, 0, 0.002197, -39.888947, 19, 1540, 679064, -1171.313881, fd
clocks, 1, ], 0, 0, 0, -34195519947, 799, 1, 0, 0.004944, 8.258522, 246, 3, 173, 0.000782, e1
direction, 29, :, 1, 1, 1, -87894762004, 13784024, 0, 1, 0.000000, -0.000101, 58, 0, 35, 154.794281, 0
attention, 11, o, 1, 1, 1, -2411397139078159321, -690, 0, 0, 0.002022, 0.691416, 3, 2, 0, 0.009693, fe
jail, 8, ~, 1, 1, 1, -385711405362324813, 21342508, 0, 1, 0.000107, 0.000002, 188, 370418515, 105, -0.000015, 32
minister, 64, (, 1, 1, 1, -143698691, -118986, 1, 1, -0.000008, 0.050040, 37, 0, 24844660, -0.219673, 4
dinosaurs, 182, T, 0, 0, 1, 1466794336368915637, -11, 1, 1, 0.012711, -0.276121, 5, 1158, 88, -0.000637, ff
winter, 16, E, 1, 1, 1, 719, 70709620, 1, 1, -0.000038, -0.000015, 6188, 678341566, 12342392, 1.324612, 5
week, 9, w, 1, 1, 0, -147210409384827, -82907, 1, 0, -2.876144, -0.094810, 1137, 26, 3783135, 0.000050, f5
drug, 0, ?, 1, 0, 1, 153583576710141, 430227, 1, 0, 0.000000, -39.888947, 19, 1540, 679064, -0.000027, ff
rhythm, 350, :, 0, 0, 1, -98351337968813525, 1, 1, 0, 0.000000, -0.000001, 3, 0, 519563, 3548.236401, 74
talk, 35, n, 1, 1, 0, -24768331305352770, -233000, 1, 1, 4178.815407, -0.000664, 622, 297284, 113517, -4.609291, fe
committee, 131, L, 1, 1, 0, 297262629148, 9254, 1, 0, 0.001114, -0.000000, 3987, 443, 75, 0.367287, a
root, 3338, P, 0, 1, 0, -556852, -84242, 0, 1, 4.045235, 0.000004, 1, 1, 2, -14.113766, 2
, 235, 8, 1, 1, 1, 124066, -181, 0, 0, -0.000031, -1.794315, 0, 29, 2079666774, -0.000103, fd
afternoon, 25051, x, 0, 0, 1, -2, -425722735, 0, 0, 3542.135902, -0.029633, 6, 21988846, 113642690, -11.614964, 0
committee, 5, #, 1, 0, 1, 428691529947, -4, 0, 0, -0.000008, -0.641529, 6, 103964, 2, 0.062126, fd
knowledge, 3650, S, 1, 0, 0, -2874788354106059, -4823, 1, 1, 88.307320, -5.396176, 0, 0, 693, 0.008339, fb
knowledge, 6481, ~, 0, 0, 1, -435, -9, 0, 0, 0.000000, -0.000039, 23844, 140794805, 19757211, -0.000015, ff
cobweb, 31330, <, 0, 1, 1, 83540283160, -6697, 0, 1, 0.183083, -0.001176, 5, 246388063, 7530, 2.855946, ff
shirt, 9, C, 1, 1, 0, -15746125191022, 986600, 0, 1, -1122.625610, 3.299566, 22309, 2, 29340, 0.293953, 1e
collar, 51, C, 0, 0, 0, 1233935950074100333, -73265154, 1, 1, 0.020111, -0.000001, 0, 24142, 35, 4.676289, 3
rainstorm, 19995, 4, 0, 1, 1, 16, 2768, 0, 0, 0.000000, 0.000000, 47, 2734091611, 232, -0.000008, 1
teeth, 16598, Q, 1, 0, 1, 542034376731, 6390741, 0, 1, 3.939156, 0.000793, 188, 67, 20544751, -0.248257, d
bears, 26, a, 1, 1, 0, -153875765078, -233000, 1, 0, 0.001205, 0.117504, 622, 297284, 6, -4.609291, 0
protest, 188, -, 0, 0, 1, 496995371, 3631, 0, 1, -0.000008, 0.249497, 56, 11, 0, 0.038296, 6
mind, 7, 4, 1, 0, 0, -92963756242, -32020097, 0, 0, 23.886955, 26.726633, 10007, 2976, 645, -1.160839, e1
toe, 3695, Y, 1, 0, 0, 106096327, -42191149, 0, 0, -0.000015, 0.000383, 104, 1, 133938, -0.000202, fa
walk, 13, S, 0, 0, 0, 93538851952785, -50538, 1, 0, -1.524635, 0.000000, 48, 9, 642222808, -0.447800, 2
writer, 1405, J, 1, 1, 0, 95182, -52907629, 0, 0, 0.019722, -0.021976, 24, 52356, 162, -10.095570, 1d
earth, 1, A, 1, 1, 1, 2550, -465914, 0, 0, 0.030891, -0.000000, 3, 131064484, 113237302, 0.000214, c9
lead, 77, ;, 1, 0, 1, -17654246751483, 463290, 0, 1, 50.982986, 7.836003, 1, 257904092, 3641, 142.645176, d
clouds, 5754, ?, 1, 0, 1, -1544840, -867564, 0, 1, -795.498260, 0.042748, 3, 22579, 0, 0.000038, 7
tray, 89, <, 1, 0, 0, -7, -9909900, 1, 0, -0.000473, 0.000001, 6, 6, 1224, 1.847420, fe
wood, 20, ;, 0, 1, 0, -566759339426803303, -15052, 1, 1, -0.000031, -0.016721, 5826, 11218073, 43852695, -9.611443, 0
summer, 6, Q, 0, 0, 1, -4627774600785, -3118, 0, 0, 7.042770, -3.902658, 5993, 8079824, 5, -1.170151, 7
drop, 27691, ~, 1, 0, 0, -781112026021, -114, 1, 0, 0.036316, 0.002511, 72, 229, 80211, -0.001133, ff
fan, 1, U, 1, 1, 1, 50, -20451, 1, 0, 0.026360, 3.560601, 7, 5519, 40863036, 0.000053, fe
sleep, 834, (, 0, 0, 1, 16285555802574, -22854159, 0, 0, 0.000465, -0.000000, 0, 0, 2639, -0.000088, fe
quicksand, 11, 6, 1, 0, 0, 40998, 19141, 0, 1, -0.000122, 0.000000, 4, 1, 236476055, 2673.105602, ff
silver, 12251, D, 0, 1, 0, 4344342009703, 14329587, 0, 0, -503.660759, 0.000120, 10, 4466478, 569403206, 2.360600, 31
brothers, 146, l, 0, 1, 0, 32, -1742, 0, 1, 0.099281, 0.013498, 61, 1471, 61882, 1989.715488, fe
spiders, 1, A, 1, 0, 1, -2329963664054516, 361648910, 1, 0, 118.624580, 0.000000, 43136, 14151269, 7, 0.058620, e8
, 150, <, 1, 1, 0, 373643582184, 124007538, 0, 0, -0.029182, 0.000000, 5695, 2, 2316, 0.000080, fc
jellyfish, 24, c, 0, 1, 0, 127805885, 1115691, 0, 1, -0.000885, -0.000422, 3, 4431, 62, 0.005619, 0
note, 154, i, 0, 1, 1, -4589, -127953269, 1, 0, 0.000290, -0.002755, 2987, 4792, 162426, 34.344219, 21
treatment, 226, d, 0, 1, 0, 28298520, -894628068, 0, 1, -0.001060, -8.240679, 1899, 185025, 1, -0.125057, 6
structure, 6, X, 1, 1, 0, 1047447988, -123, 1, 0, -94.542923, 0.407830, 6246, 360897, 1457848, 0.005295, 2
tendency, 33, u, 1, 0, 0, 165649894, 0, 1, 0, -68.822845, -0.000007, 3, 913238, 122, 0.000542, ff
print, 3375, y, 0, 1, 0, 0, 3116, 0, 0, -0.001099, -28.291534, 15, 14518, 44692021, -6.901657, fd
fruit, 4, l, 1, 0, 0, -4874745269, 44132, 1, 0, -0.003433, 0.758414, 23, 798205, 1, -0.055290, f4
chair, 12, p, 0, 1, 0, 1583072687045887, 10, 0, 1, -0.000008, 0.008466, 175, 1, 92, 0.124489, 0
twig, 10511, T, 0, 1, 1, -2621, -1674418179, 1, 1, 0.000191, -0.021693, 25, 1409743, 404, -1263.454563, fe
structure, 440, X, 0, 0, 1, 523452985709480684, -107, 1, 1, -94.542923, 0.407830, 0, 360897, 51314, 110.753166, 2a
coil, 3729, w, 1, 0, 1, 29163656525551, 260377469, 0, 0, 0.000183, 0.000000, 13, 66163029, 9, 1988.605598, ff
car, 2, ], 0, 1, 0, -109008082, 2256808, 1, 1, -24.634819, 0.529093, 8032, 16585542, 489, 0.023174, 6
dinosaurs, 845, k, 0, 0, 0, -2701084701601, -1, 1, 1, -641.235825, 0.000389, 5289, 257349407, 52, 2997.208385, 72
furniture, 1714, E, 1, 0, 0, -52231, -12, 0, 1, 307.743752, -12.935018, 3, 40, 23470830, 407.003910, 0
top, 1674, x, 1, 1, 1, -45778873388, -46184, 0, 1, -112.839859, -0.000000, 232, 2430, 0, 0.044441, 1
treatment, 38, N, 0, 1, 0, 5528, -3917757, 1, 1, 0.000206, -0.010206, 6, 2, 216620, -0.000053, d0
note, 13099, e, 1, 0, 0, 441308, -300251774, 0, 1, -5.386963, 0.072906, 824, 59, 15222, -0.159657, 5f
industry, 834, K, 0, 1, 0, 332260950912090, 74, 0, 0, -0.001389, 0.000004, 1464, 2736249, 523778, 967.945259, 52
books, 0, Z, 0, 0, 1, 3230748684337902163, 6, 0, 0, -1.864136, 2.029830, 2, 11269, 15925584, 1.951996, fd
powder, 51961, u, 1, 0, 0, -14512, 5973092, 0, 0, 0.000130, -0.000429, 288, 3980724, 1, -0.000008, 3
joke, 73, m, 1, 0, 1, -26748691, 24491371, 1, 0, 1.368851, -0.469600, 8, 119169, 1, -735.583824, f8
wire, 4, 7, 1, 0, 1, 174610, 401725, 1, 1, 0.000114, 0.041117, 74, 363, 9589756, -0.180065, b
, 921, >, 1, 1, 0, 30536213, -107, 0, 1, -0.000359, -0.946952, 85, 667109, 509007493, 0.013618, f6
surprise, 16139, 4, 0, 1, 0, -280273057390629, 0, 1, 0, 0.000191, -77.933365, 1857, 6512, 1055, 0.000019, d
owner, 59, p, 0, 1, 1, 1455, 5, 0, 1, 0.001175, -0.035308, 35, 94716, 1888731, 0.000065, 2
hands, 320, K, 1, 0, 0, -97041174, -457, 1, 0, 0.734512, 0.052727, 5, 19971, 30945227, 2042.829124, 26
error, 149, x, 1, 1, 0, -629107010381133, 1034526838, 1, 0, -0.000015, 0.000000, 410, 394512358, 54195397, -0.000008, cd
discovery, 1, D, 0, 1, 0, 748478, 0, 0, 0, -1.092712, -0.035942, 211, 5071, 1070, 0.000008, fb
cakes, 0, t, 1, 0, 0, 210, -1169565477, 1, 1, -0.211067, 0.015324, 1940, 435788751, 989, 1.658741, cc
planes, 771, 1, 1, 0, 1, -39931221219947, -5, 0, 0, -10.618408, 0.000429, 0, 2071881, 1114672, -0.370106, 1
roof, 3225, !, 0, 0, 1, 32698141, 6876353, 0, 0, 157.597855, -0.586562, 196, 10753, 903, 0.190125, 1
invention, 1602, >, 1, 0, 1, -213139, -2, 0, 1, 0.000099, -0.000001, 2219, 7434887, 0, -75.445709, d4
burst, 0, -, 0, 0, 0, -1263706229, 10985, 0, 1, 0.000000, -0.000283, 0, 6794755, 31, -0.000004, 2
direction, 0, R, 1, 1, 0, 1114501544091925, -65152, 1, 0, -0.479523, -0.000000, 13780, 773339676, 0, -6.223583, 0
carpenter, 1880, >, 0, 1, 1, 1243483749389029779, -510, 0, 0, 0.182709, 0.002742, 14310, 6219714, 6182750, -0.008423, c0
engine, 873, ], 0, 1, 1, -14927, -28206934, 0, 0, -0.000076, 0.312347, 501, 13023, 1024586, -20.974865, 3
mass, 394, w, 0, 0, 1, -781106265542104819, -64, 1, 1, 0.000000, -20.317169, 50, 56880, 39957348, -0.007450, fa
, 1, [, 1, 1, 1, 43855, 0, 0, 1, -0.000008, 0.000033, 1631, 48, 67, 1384.482891, 5
skirt, 1, 6, 0, 0, 1, 38512178226730064, -25484, 0, 1, 62.717682, -0.006117, 10, 950161846, 565, -0.038235, 18
quicksand, 48, ?, 0, 0, 1, -56799777090011, -1133867, 1, 1, -0.005470, -102.023682, 8955, 567140, 24940, -2.833641, 79
house, 2657, w, 1, 0, 1, 14189, 112, 1, 0, 0.133224, 3.305183, 17, 1, 77, -0.001259, fe
, 814, 1, 1, 0, 0, -1321500829306938580, -27671924, 0, 1, -0.000366, 0.000000, 2168, 21486917, 12, 0.080605, 49
jelly, 5670, ^, 0, 0, 1, -435, -9, 0, 1, -50.768517, -236.779541, 23844, 140794805, 1944090, -0.000015, ff
move, 113, D, 0, 0, 1, -24, -799, 0, 0, 0.006325, 0.000120, 10, 4466478, 719, 0.000362, 1
balloon, 87, >, 0, 1, 0, 8137491, 321, 1, 0, 13.826935, -5.209352, 1, 3860697, 2407952161, -68.287506, ff
structure, 2, $, 0, 1, 0, 308, 27, 0, 1, 0.000183, 0.000003, 2511, 2499226, 17, 18.361820, 22
passenger, 373, X, 1, 0, 1, 25342653887159535, 24, 1, 0, 2049.205940, -0.000011, 187, 180902, 2013865677, 0.001537, 0
acoustics, 150, g, 1, 1, 1, 1308517911948898, 96986355, 1, 0, -2728.265793, -0.000322, 60, 4971013, 639459221, -1510.881001, ea
insurance, 1897, V, 1, 0, 0, -12755, -324284, 0, 1, 3465.865524, 0.000000, 3695, 0, 2873, -0.207237, f9
mist, 3401, y, 1, 1, 1, 31624906, 832611, 0, 1, -0.000015, -0.000000, 4705, 13, 9622611, -0.199451, af
gold, 0, $, 0, 1, 1, 105419982416665380, -488919, 1, 1, 0.010818, -30.520426, 31155, 7313, 1, 1.097477, 7a
jump, 61099, ~, 1, 1, 0, -2636667557718015689, -16004, 1, 1, -0.924698, -0.000766, 94, 491739, 491007, 0.001308, 6f
bone, 7064, q, 0, 1, 1, 1458, -1678, 0, 0, 0.000984, 0.000000, 176, 66163029, 6592, 0.000000, 65
pickle, 5, C, 1, 0, 1, -15746125191022, -112, 1, 1, -0.001106, 3.299566, 22309, 2, 14161857, 0.000782, ef
pollution, 252, h, 1, 0, 0, -123140281829960483, 160615, 0, 0, 0.000008, 6.481385, 11770, 135297986, 27685, 45.043358, 0
system, 30, p, 1, 0, 0, 107581, 608, 0, 1, 37.259651, 4.275982, 93, 155, 14969305, 3.894547, 0
paste, 4172, 8, 0, 0, 1, -2682, 43, 0, 1, -605.221260, 1.221419, 1292, 14811982, 1, -75.229622, f3
structure, 12054, <, 0, 0, 1, 262991777034, -26, 1, 0, 0.000015, -10.511395, 30031, 996989615, 32, 6.099159, f7
elbow, 851, J, 0, 1, 1, -3, -247355, 0, 0, 0.000008, -0.001600, 821, 0, 424991, 0.000046, fe
base, 99, 3, 0, 1, 0, 424340419846131, -65571505, 1, 0, -7.629601, -187.161285, 2529, 469560, 833, -0.020859, 0
clocks, 5, w, 0, 0, 0, 1784536, 193655088, 1, 1, -0.612015, 0.119230, 96, 2, 794062, 0.000000, fc
reason, 9, P, 1, 0, 1, -32800, 1534570, 0, 1, 2.190018, 0.346748, 4, 41433, 309805, 0.000019, f7
authority, 49877, D, 0, 1, 0, 187, -10667493, 1, 1, -2880.063271, 0.041832, 262, 799036977, 1129866447, 0.037338, 2
cart, 7065, y, 1, 1, 0, -886370546481655, -679822, 0, 1, -598.800720, -0.000010, 2442, 14365397, 1764898385, -0.001801, 2e
box, 5443, {, 1, 0, 0, 24858756461146, 40062378, 0, 1, -419.550049, -31.010521, 12580, 11, 2692, -0.596973, 88
direction, 22, H, 0, 0, 1, -8, 709, 0, 1, 20.252640, -12.868860, 12570, 8142165, 200, -0.176956, 3e
grip, 64, W, 1, 1, 0, 2713282, -224, 0, 0, 0.062248, 0.000001, 421, 68968, 4, 0.003033, 1b
, 3, ^, 1, 1, 1, 59, -118986, 1, 1, 0.007317, 0.050040, 37, 0, 108837, 0.000458, 29
structure, 2, |, 0, 0, 0, 308, 27, 1, 0, 0.000183, 0.003769, 430, 2499226, 17, -124.077496, 22
elbow, 2, D, 0, 1, 1, -8024, 1880, 0, 1, 86.411850, -6.452303, 3, 2466, 14219049, -0.000195, bf
, 186, :, 0, 0, 0, 10540137471, -1, 0, 0, 4.965981, -232.625381, 22449, 404985, 1, 475.028446, a
, 70, i, 1, 0, 0, -894826858259302, -19408, 1, 1, 3908.709984, 0.000011, 209, 1, 456, 0.003246, 19
wish, 1978, ., 1, 0, 0, -16, 130923, 0, 1, 0.000084, 14.117388, 55054, 5303, 1281, -0.000004, c9
needle, 47, _, 0, 0, 0, -128368, -1, 1, 0, 4.393776, 0.000005, 1, 2342, 3098780, -0.000221, fe
chess, 25373, Q, 1, 0, 0, -1620563, -391, 0, 1, 9.596512, -0.013193, 232, 2430, 8643638, 4089.933620, 0
secretary, 2091, ~, 0, 1, 1, 1984848276846115, 1, 0, 1, 0.000069, 0.000002, 41983, 120, 1377081187, -0.006691, d6
income, 254, h, 0, 0, 1, -188846, -2436822, 1, 0, 0.325294, 0.075619, 43, 89844122, 65, -0.161968, a
pollution, 7191, F, 1, 1, 0, -981, -1, 0, 1, -15.155891, -0.545577, 4, 3194, 887372755, 3.812305, ff
air, 186, f, 0, 0, 1, -61831, -18809961, 0, 0, 0.013344, -232.625381, 22449, 404985, 11846969, 475.028446, 2c
sheep, 3, !, 0, 0, 0, -4945444181355408626, 18, 1, 0, 6483.482185, 56.618301, 14950, 7, 44, -358.755238, 64
rub, 1, !, 1, 0, 1, 1038919, 557859, 1, 0, -1850.574921, -2.978691, 470, 102304059, 20413887, -183.898655, 0
dinosaurs, 420, F, 0, 0, 0, 107669990648580492, -23481971, 1, 1, 4.289093, 0.000003, 5, 1158, 4238, -0.000637, c2
, 479, f, 0, 0, 0, 124066, -171225008, 0, 0, -476.808693, -1.794315, 6, 29, 0, -0.000008, ff
body, 6, s, 1, 1, 0, 12538801976990783, 22097, 1, 1, -0.000359, 8.857088, 85, 667109, 3, 0.013618, f0
front, 0, U, 0, 1, 1, 8357925747, -82, 0, 0, 10.566505, 0.000001, 496, 124340053, 593504, 0.000000, 2
treatment, 196, k, 1, 1, 0, -123656103, 216370748, 0, 0, 1493.374008, 0.001572, 0, 10235627, 1309, -9.605759, ff
, 1519, E, 1, 0, 0, -1506953522519992882, 56, 1, 1, 0.000015, -0.005113, 4994, 13, 21214, -1.584152, 5
plane, 1073, n, 1, 1, 0, -1, -1029291978, 0, 0, -0.000008, -0.000120, 1632, 65094, 815124766, 2.782539, 5
knowledge, 5, l, 1, 0, 0, -2539454, 452, 0, 1, 7.565399, -0.774134, 31, 1388535719, 1873156183, -0.001801, fa
sheep, 24373, X, 0, 1, 1, -4945444181355408626, -706, 1, 0, 6483.482185, -0.218317, 14950, 7, 6871, 317.288044, cf
belief, 96, M, 1, 0, 0, -2163073231098402641, 5390, 1, 1, 0.014847, 36.560406, 1496, 24965349, 627510, 1362.909672, 0
cable, 114, Y, 1, 0, 0, 704, 1116, 0, 0, 0.000237, -0.006731, 737, 1368182, 155459, -0.000538, 0
nerve, 1, x, 0, 1, 0, -14927, 740301, 0, 0, -0.000076, 0.312347, 501, 13023, 23305242, -0.125946, 3
direction, 3, g, 0, 1, 0, -1319755489375, 8662, 1, 1, -0.004623, 0.000004, 1821, 3, 32402, 0.000416, ed
store, 6, e, 0, 1, 1, 1666612372979, -641314, 0, 1, -0.000023, -1.220503, 14845, 766, 237504341, 0.009480, 17
, 1, ], 0, 1, 1, 31763198, 218, 0, 0, 0.000015, 0.257044, 540, 15535187, 27061, 0.000607, 1f
uncle, 0, 4, 0, 1, 0, -244, 337190, 0, 0, -0.049744, -0.000010, 26, 32207, 407, -0.000008, 0
rail, 6411, u, 0, 0, 0, -18, 73899, 0, 1, -38.581032, 0.000176, 52, 766347318, 39, -0.000511, 1
sponge, 3001, p, 0, 1, 0, -1310257, -737759, 0, 1, -0.035461, -0.000082, 2297, 1, 13429534, -0.050079, f7
agreement, 12, u, 1, 1, 1, 28041593, -184373, 0, 1, -0.046165, -0.000003, 6, 5587860, 15181229, -0.000008, ff
gold, 723, E, 1, 1, 1, 81489669312425752, 615, 0, 1, -0.000412, 0.000018, 4684, 3200324, 8, -0.034622, 3
, 24, L, 1, 1, 0, -5224557, -1, 0, 1, -475.609253, -0.036871, 265, 17257, 1915, 0.000217, fc
, 0, <, 1, 0, 0, 3, 16625102, 0, 1, 0.000702, 0.000033, 1822, 1, 119, 0.004528, 0
ear, 15227, 3, 0, 0, 1, 62, -1, 1, 0, -0.000412, -0.000139, 7, 360444, 3, -0.000687, 1
bread, 14, u, 0, 0, 1, 140295707711, -4014637, 0, 0, 0.024208, -0.000025, 1014, 279773, 4015384279, -0.005302, ff
kitten, 26, u, 1, 0, 0, 33077508368498, -149693008, 0, 0, -0.031319, 0.001695, 7675, 0, 3443846, -0.113319, 3
sun, 59561, O, 1, 1, 1, -68431455633, 3, 0, 1, -0.912498, 0.236721, 1, 10, 7595518, 3.149319, 0
street, 226, H, 1, 0, 0, 447815632179622, 15564488, 0, 0, -291.053696, -8.240679, 1899, 185025, 2699, -1485.297459, f0
breakfast, 320, [, 1, 1, 0, -97041174, -2833766, 1, 0, 0.734512, 0.052727, 5, 19971, 1246, 2042.829124, 26
cannon, 57597, 0, 1, 0, 1, 4, -22028081, 1, 0, 51.363045, -0.001931, 2, 0, 28083046, -0.000004, 0
, 94, k, 0, 1, 1, 27846591, 50528293, 0, 0, -144.046883, 8.542062, 36, 421, 14504, -0.034943, fe
scarecrow, 15, }, 1, 0, 0, -27113244386, -8, 1, 0, 865.897179, 0.070278, 10964, 885, 18703175, 133.863598, 1
digestion, 1192, W, 0, 1, 0, 809765512376, -1, 1, 1, -0.031349, 0.000109, 6, 63525, 1017, 0.247292, c
bucket, 1499, 0, 0, 1, 0, 53436025550, 5459, 1, 1, -1.294029, -153.380997, 1414, 242163, 3453305, 2753.635048, c
existence, 64955, v, 0, 0, 1, 0, 435, 0, 0, -7118.812233, 4.769621, 189, 27387038, 1014, 12.391510, 34
question, 1, /, 0, 0, 0, 8091764, 215279, 1, 0, 0.220634, 0.000152, 8, 234, 0, 0.000004, f9
circle, 49, 5, 1, 1, 0, 9, -7, 0, 0, -0.000198, 166.413437, 15315, 38, 187, -0.191238, 3
fifth, 3907, ^, 1, 1, 1, 0, -11966683, 1, 1, -0.000343, -0.000001, 10577, 27387038, 121, 9.944901, 3
brass, 1, P, 1, 1, 0, -2167619831, 38298009, 0, 1, -5.018417, -0.054282, 8, 432979527, 3, 80.085598, f3
lizards, 23, @, 0, 0, 1, 20579486651249, 470566809, 1, 1, 0.031631, 48.042809, 0, 159290139, 3222, 1834.914856, 4
servant, 14, 2, 0, 1, 1, 2167793035349, 31538, 0, 1, 0.000008, -0.000347, 1890, 2312534951, 1, -3.446339, 2
lunchroom, 2, g, 0, 0, 0, 11229, 30, 1, 1, -0.003326, -0.000000, 32613, 7, 33, 13.931019, c
frog, 57, R, 0, 1, 0, 7, 4889140, 0, 0, -0.693550, 0.000002, 3, 204425, 2, -6.303699, 0
garden, 57479, t, 1, 0, 1, -3771562539367, -193187, 1, 0, 5.409920, -8.321322, 0, 21216571, 1528, 0.003384, ff
sink, 5697, b, 0, 0, 1, 2655648261033, -32560, 1, 1, -1.623871, -0.000009, 35, 12601928, 2, 0.241585, fe
dress, 0, A, 1, 0, 0, -5275961052154739, -488, 1, 0, -0.000038, 0.000000, 43136, 14151269, 85, -0.000172, e8
cast, 24242, 3, 1, 1, 0, 3, 816892889, 0, 1, -0.008621, 0.000000, 777, 39, 5500627, -471.097881, 0
cough, 64, :, 0, 1, 1, -98351337968813525, -3976032, 1, 0, 0.000000, -0.000001, 3, 0, 7, 3548.236401, 74
brass, 121, C, 1, 1, 0, -547645015988, 55888, 0, 1, -3560.687164, -0.000000, 2539, 964105714, 154940, 0.236771, 42
elbow, 1, =, 0, 1, 1, -116191234161402307, -341945579, 0, 1, 86.411850, -6.452303, 3, 2466, 2403441, -0.000019, bf
frame, 10310, [, 0, 0, 1, -10, 2787693, 0, 1, -2598.655533, -0.000009, 2, 77, 215, -1.838299, ff
steel, 401, 8, 0, 1, 1, 238452, 45506, 1, 0, -1.278572, -0.000000, 1854, 7, 9276, 332.127003, ff
mind, 113, u, 1, 0, 0, 61482552993433550, 2114, 0, 1, 0.176849, -0.000002, 2, 3980724, 962, -0.000004, 3
debt, 20, ^, 0, 1, 1, 2052317043900800896, 2859, 1, 0, -16.087311, -0.003035, 28, 0, 486, -0.000004, 0
expansion, 17, J, 1, 0, 0, 95182, -52907629, 1, 0, -1.012390, -0.021976, 24, 52356, 20, -0.000004, 1d
zinc, 6, w, 1, 1, 0, -152, -37, 1, 1, -1.511337, 0.000003, 3618, 1409743, 995614974, -1263.454563, f7
snow, 64, U, 0, 0, 1, 496333174, 1346, 0, 0, 6698.128296, 0.001228, 101, 0, 2072283712, -62.190208, f
treatment, 212, *, 1, 0, 0, -7947603240, -1, 0, 0, 0.057129, -13.731642, 7202, 63, 2, -0.000004, 0
existence, 4, D, 1, 1, 0, -29284193, 82, 0, 0, 7.803986, -0.012627, 14, 4671, 117, 0.000011, 0
jellyfish, 10, >, 1, 1, 1, -78924002721404710, 527, 0, 0, 0.001572, -0.000003, 13, 411, 0, -0.000576, 3
soup, 12340, i, 1, 0, 0, 681588, -218985, 0, 1, -2.458565, -1.079656, 2724, 42971669, 989452, -0.000004, 1
juice, 14, C, 1, 1, 0, -510358690674541572, 4798650, 1, 1, 1631.181496, 0.002627, 1090, 9157, 1, -0.000031, 57
condition, 26862, P, 1, 0, 1, -786516367154, 1268265331, 1, 1, 0.000351, -0.000001, 4994, 13, 9622611, -1.584152, fe
teaching, 15511, G, 1, 0, 0, -4523, -88780, 0, 0, -0.026657, -0.000371, 2065, 504385, 3598057645, 0.000000, ff
territory, 3, O, 1, 1, 1, -134, 8046, 1, 1, -0.000031, -169.141174, 7770, 2241, 253632, 0.000008, 0
, 3380, U, 0, 0, 0, 388179085139, 53111876, 1, 0, 0.000290, -0.000000, 924, 165820192, 23436357, -0.492393, ff
engine, 11327, z, 0, 0, 1, -529297449261654, -118, 1, 1, 0.829994, 145.170853, 60077, 302, 1952422622, 0.000008, 0
, 241, y, 0, 0, 1, -1021000, 560, 0, 1, -0.000015, 0.000006, 1242, 4, 5, -10.422260, 0
, 3976, |, 1, 1, 1, -98037307807204180, -1, 0, 0, 100.265434, 0.032666, 27, 6450750, 866262, 0.099476, 7
authority, 0, &, 1, 0, 0, -1815514, 63, 1, 1, -63.868912, -0.000058, 246, 61369909, 473187159, -0.005463, ff
thing, 2708, 6, 0, 0, 0, 332260950912090, -273431341, 0, 0, -0.001389, 0.000004, 1464, 2736249, 523778, 967.945259, 52
soda, 1, B, 0, 0, 0, 17184306540, 12545, 0, 0, -0.000160, -0.003841, 3785, 1251, 1084281573, -0.021896, f2
letter, 2007, #, 0, 1, 1, -1, -53171, 1, 0, 0.001289, 0.000461, 423, 662910558, 95242998, 0.000027, ec
sink, 468, <, 1, 0, 1, 670779904532, -27, 0, 0, 0.000229, -0.134861, 4645, 3562149656, 243154, -0.099365, 0
